raleigh-nc, Raleigh, Raleigh, RAG, 35.77959, -78.638179, North Carolina, NC
redwood-city-ca, Redwood City, Redwood City, RWC, 37.485215, -122.236355, California, CA
richmod-va, Richmond, Richmond, RIC, 37.540725, -77.436048, Virginia, VA
rochester-ny, Rochester, Rochester, ROC, 43.161030, -77.610924, New York, NY
rolloing-meadows-il, Rolling Meadows, Rolling Meadows, RLM, 42.084194, -88.013127, Illinois, IL
sacramento-ca, Sacramento, Sacramento, SAC, 38.575764, -121.478851, California, CA
saint-paul-mn, Saint Paul, Saint Paul, STP, 44.954445, -93.091301, Minnesota, MN,
salt-lake-city-us, Salt Lake City, Salt Lake City, SLC, 40.758701, -111.876183, Utah, UT
san-antonio-tx, San Antonio, San Antonio, SAT, 29.424349, -98.491142, Texas, TX
san-bernadino-ca, San Bernadino, San Bernadino, SBD, 34.108345, -117.289765, California, CA
san-diego-ca, San Diego, San Diego, SAN, 32.715736, -117.161087, California, CA
san-francisco-ca, San Francisco, San Francisco, SFO, 37.733795, -122.446747, California, CA
san-jose-ca, San Jose, San Jose, SJC, 37.279518, -121.867905, California, CA
san-juan-pr, San Juan, San Juan, SJU, 18.466333, 66.105721, Puerto Rico, PR
seattle-wa, Seattle, Seattle, SEA, 47.608013, -122.335167, Washington, WA
secaucus-nj, Secaucus, Secaucus, UYK, 40.789545, -74.05653, New Jersey, NJ
sherman-oaks-ca, Sherman Oaks, Sherman Oaks, SJJ, 34.148972, -118.451357, California, CA
south-bend-in, South Bend, South Bend, SBN, 41.697578, -86.228096, Indiana, IN
spokane-wa, Spokane, Spokane, GEG, 47.658779, -117.426048, Washington, WA
springfield-mo, Springfield, Springfield, SGF, 37.208957, -93.292299, Missouri, MO
st-louis-mo, St Louis, St Louis, STL, 38.580917, -90.244598, Missouri, MO
syracuse-ny, Syracuse, Syracuse, SYR, 43.088947, -76.154480, New York, NY
tampa-fl, Tampa, Tampa, TPA, 27.964157, -82.452606, Florida, FL
tula-ok, Tulsa, Tulsa, TUL, 36.153980, -95.992775, Oklahoma, OK
washington-dc, Washington, Washington, WAS, 38.889931, -77.009003, District of Columbia, DC
west-palm-beach-fl, West Palm Beach, West Palm Beach, PBI, 26.715342, -80.053375, Florida, FL
white-plains-ny, White Plains, White Plains, WTS, 41.033986, -73.76291, New York, NY
worcester-ma, Worcester, Worcester, ORH, 42.262593, -71.802293, Massachusetts, MA
